# ----------------------------------------
# Report CSV Export
# Account: Cretivox
# Property: Cretivox
# ----------------------------------------
# 
# All Users
# Start date: 20220222
# End date: 20220321

First user default channel grouping,New users
Organic Social,4382
Direct,2643
Organic Search,1625
Organic Video,105
Referral,31

# Start date: 20220222
# End date: 20220321
Day,Organic Social,Direct,Organic Search,Organic Video,Referral
0000,339,75,46,2,1
0001,9,66,43,3,0
0002,160,90,55,0,1
0003,400,134,67,4,2
0004,131,88,37,5,0
0005,78,96,68,2,3
0006,10,93,55,4,5
0007,13,105,51,3,3
0008,6,109,66,4,0
0009,4,82,57,3,2
0010,14,101,72,7,2
0011,94,66,36,3,0
0012,81,86,55,6,0
0013,527,111,56,8,1
0014,631,94,56,7,0
0015,7,88,71,1,0
0016,5,91,75,4,0
0017,138,60,54,5,2
0018,275,43,49,0,2
0019,202,45,30,4,1
0020,233,166,77,4,0
0021,245,191,74,5,1
0022,31,87,86,6,0
0023,81,116,73,6,0
0024,94,116,70,4,0
0025,412,101,45,3,2
0026,5,55,35,2,1
0027,157,88,66,0,2

# All Users
# Start date: 20220222
# End date: 20220321

First user default channel grouping,New users,Engaged sessions,Engagement rate,Engaged sessions per user,Average engagement time,Event count,Conversions,Total revenue
Organic Social,4382,4700,0.9985128531973656,1.0566546762589928,7.542491007194244,15116,14311,0
Direct,2643,3059,0.9637681159420289,1.1317055123936366,28.153903070662228,13792,10391,0
Organic Search,1625,1896,0.9271393643031784,1.1476997578692494,46.276634382566584,9731,7028,0
Organic Video,105,116,0.9666666666666667,1.1047619047619048,15.209523809523809,511,397,0
Referral,31,34,1,1.0303030303030303,24.272727272727273,184,132,0
